,ID,NODF,H2,Q,numero_link,conectancia,dens_link,numero_sp_log,numero_sp,uso,lat,long
1,rede1,-1.81353838,0.29,0.192492217,0.9182064,0.4669118,9.8735157,2.197225,8,0,-15.93293611,-47.88398889
2,rede2,-2.56510263,0.43,0.271293288,0.9439384,0.5961538,4.5980402,2.639057,13,0,-15.71855556,-48.01383
3,rede3,-1.9567099,0.53,10.3165469,-1.1725856,0.4537815,6.9673417,2.890372,17,43.94829612,-14.43666667,-48.58138889
4,rede4,0.58018025,0.99,0.193807242,-1.3667125,0.1730769,2.5308657,2.639057,13,0,-11.88804444,-52.22458056
5,rede5,-0.52076382,0.52,-0.610968462,-1.1956177,0.7619048,2.8635509,2.302585,9,89.49624866,-23.39648889,-51.85058056
6,rede6,-7.40063738,0.66,0.504854563,-1.0333711,0.4478873,10.0425633,4.276666,71,80.66666667,-15.58,-52.30666667
7,rede7,-0.52156672,0.82,0.985102397,0.4933895,0.2692308,7.4261785,1.94591,6,7.075471698,-19.02480833,-40.22948056
8,rede8,-3.0790796,0.73,-0.314501922,-1.07046,0.4038462,7.5203699,3.688879,39,3.912543153,-15.934,-56.03693
9,rede9,-1.15986742,0.83,-0.534292616,0.7852761,0.44,0.7485913,1.791759,5,87.35632184,-18.22611944,-40.07563056
10,rede10,-0.08619892,0.65,6.129372524,-0.8026259,0.2767402,8.2007614,3.465736,31,4.282407407,-2.127369444,-59.32765278
11,rede11,-1.13908976,0.5,-0.623070111,0.8360301,0.6111111,1.612221,2.302585,9,0,-25.16205556,-53.82947222
12,rede12,-2.84690617,0.65,5.888052521,-1.0478729,0.3406061,16.2689921,4.330733,75,0,-3.082461111,-59.76745833
13,rede13,0.97992558,0.67,-0.272084846,-1.1380254,0.5692308,1.6494552,2.639057,13,92.29946524,-23.83821667,-54.34895278
14,rede14,-1.48826874,0.42,1.067965246,-1.088553,0.6628788,14.5617924,3.135494,22,0,-23.25603333,-46.96125833
15,rede15,0.75999116,0.74,2.969773691,-1.1609294,0.5833333,1.2478432,2.772589,15,0,-25.36503333,-48.8321
16,rede16,-3.81521791,0.63,2.407411731,-1.3114372,0.4398148,2.2569789,2.944439,18,18.09720786,-25.54614722,-53.29769722
17,rede17,-1.12451148,0.57,2.572645919,0.8902809,0.4732143,6.401818,2.70805,14,97.81609195,-23.53645,-51.78305556
18,rede18,0.16108157,0.62,2.231648593,0.8244145,0.4285714,0.4896769,2.079442,7,44.07530454,-25.07998611,-53.62424167
19,rede19,0.63104118,0.54,4.817763263,0.723618,0.2693603,2.8457913,2.484907,11,0,-22.59844,-52.24589
20,rede20,-0.61484729,0.64,-0.85965919,-1.0859479,0.4513889,8.3087124,3.496508,32,92.84916201,-21.2666,-44.059
21,rede21,-0.55915173,0.37,-2.06407538,0.9418632,0.6802721,1.613314,2.079442,7,27.73019272,-20.68528056,-53.54370556
22,rede22,-0.64966888,0.46,1.626996258,-1.2365761,0.5918367,-0.3340639,2.079442,7,100,-22.00349,-53.80565
23,rede23,-2.31233797,0.47,-0.002955626,0.2525057,0.5416667,2.1132468,2.397895,10,54.77777778,-22.80222778,-45.4489
24,rede24,-3.22117409,0.37,2.38179594,-1.636533,0.532872,9.5814054,2.890372,17,100,-22.51555556,-47.67063333
25,rede25,-0.91320733,0.5,0.316515017,0.643287,0.4634921,8.2144447,2.772589,15,99.3227991,-23.32344722,-51.89033056
26,rede26,-3.65684251,0.58,2.802425721,-1.1036671,0.5944444,10.5466195,3.044522,20,0,-12.16666667,-47.75
27,rede27,-1.34205099,0.59,2.424900694,-1.0408518,0.6096096,13.4388566,3.637586,37,0,-9.433333333,-50.16666667
28,rede28,-1.22189936,0.35,-0.853845523,-1.0105528,0.8133333,24.909618,3.931826,50,4.50867052,-11.78333333,-48.61666667
29,rede29,0.96965797,0.43,0.513348433,0.9231299,0.5255102,4.8811913,2.079442,7,93.68308351,-23.31972222,-51.19638889
30,rede30,1.15289465,0.4,0.363472681,-1.2525838,0.5466667,11.9352607,2.772589,15,0,-23.63743,-45.81305
31,rede31,0.1309772,0.86,1.000064899,-1.4846016,0.2962963,0.3513956,2.302585,9,51.08323831,-21.30030556,-56.43547222
32,rede32,-0.74802645,0.72,7.261887108,-1.0415931,0.4187328,14.4692888,4.204693,66,0,-9.235875,-56.942925
33,rede33,0.09871129,0.42,2.409678561,0.9483384,0.4028213,7.9972298,2.484907,11,75.11415525,-28.70684444,-52.87337222
34,rede34,0.2237125,0.41,-0.522727429,-1.1007262,0.4190476,17.3052132,3.091042,21,0,-3.562463889,-54.890275
35,rede35,-0.58912434,0.55,3.839534477,-1.5455164,0.425,16.3316152,3.044522,20,0.222222222,-24.4166,-47.25
36,rede36,1.62161171,0.6,-1.207477312,0.4663586,0.625,1.0458233,1.94591,6,88.55614973,-23.36429167,-52.01890833
37,rede37,-0.43014453,0.61,2.594871872,-1.8227822,0.2580645,18.5268344,3.465736,31,83.83947939,-20.79508611,-51.5146
38,rede38,0.20591259,0.7,2.185304121,0.6099327,0.3142857,-31.6069771,2.079442,7,94.62365591,-18.13875278,-40.02127778
39,rede39,-0.23785104,0.78,-0.192223855,0.3095702,0.3166667,2.3839455,1.94591,6,51.58371041,-15.10316667,-49.44666667
40,rede40,-0.35899124,0.63,-0.971775326,0.7371762,0.6851852,1.8193345,1.94591,6,54.90733717,-18.60309722,-51.95296389
41,rede41,-3.30281712,0.82,0.744279005,-1.1277413,0.34375,10.0983501,3.367296,28,63.90728477,-13.15580278,-49.16531389
42,rede42,-1.25955644,0.33,1.091759235,0.8232944,0.3735632,10.6564165,2.564949,12,98.04372842,-20.75,-49.33333333
43,rede43,0.0823679,0.64,3.143260494,-1.018183,0.4906205,15.4975643,4.60517,99,0,-4.330366667,-49.56529167
44,rede44,-4.52301166,0.59,1.592720902,-1.4565159,0.577381,5.5826986,2.70805,14,0,-23.73333333,-45.85
45,rede45,-0.60715095,,1.175758703,-1.1331107,0.5357143,21.3791167,3.367296,28,0.493093024,-4.733127778,-62.15433889
46,rede46,-0.55555659,,1.711598774,-0.4908697,0.3977273,-31.6069771,2.833213,16,94.18199338,-23.53343889,-52.01850556
47,rede47,-0.96639455,,-0.825247056,-1.033071,0.8555556,3.9228471,2.772589,15,88.45886762,-23.384725,-51.94698889
48,rede48,0.85550913,,1.729856377,-0.1542439,0.3838384,3.7102376,2.302585,9,56.39013453,-20.576125,-47.78501389
49,rede49,0.51817759,,1.581104229,-2.9838728,0.25,-31.6069771,2.302585,9,21.71122995,-20.68496667,-56.77826667
